name,ingredients,price,stock
Gummy Bears,"Sugar, glucose syrup, gelatin, citric acid, artificial flavors, natural flavors, artificial colors",1.99,100
Chocolate Chip Cookies,"Wheat flour, sugar, chocolate chips, butter, eggs, vanilla extract, baking soda",2.49,75
Marshmallows,"Corn syrup, sugar, modified cornstarch, gelatin, water, tetrasodium pyrophosphate",1.79,120
Jelly Beans,"Sugar, corn syrup, modified food starch, natural and artificial flavors, artificial colors",2.29,90
Rock Candy,"Sugar, water, flavoring, food coloring",0.99,50
Fruit Gummies,"Sugar, glucose syrup, pectin, citric acid, artificial flavors, natural flavors",1.99,80
Cotton Candy,"Sugar, artificial flavors, artificial colors",1.49,60
Toffee,"Sugar, butter, water, corn syrup, salt, vanilla extract",2.99,70
Lollipop,"Sugar, corn syrup, citric acid, artificial flavors, artificial colors",0.99,100
Peanut Brittle,"Sugar, peanuts, corn syrup, butter, baking soda, salt",2.49,85
Nougat,"Sugar, corn syrup, egg whites, almonds, pistachios, vanilla extract",2.79,60
Chocolate Truffles,"Chocolate, heavy cream, butter, cocoa powder, vanilla extract",3.49,40
Fudge,"Sugar, butter, heavy cream, chocolate, vanilla extract",2.99,65
Jawbreakers,"Sugar, corn syrup, gum base, citric acid, artificial flavors, artificial colors",1.99,150
Licorice,"Corn syrup, wheat flour, sugar, molasses, licorice extract",1.49,70
Honeycomb,"Sugar, corn syrup, baking soda",1.79,55
Almond Joy,"Sugar, corn syrup, coconut, almonds, chocolate, vegetable oils",2.49,45
Gummy Worms,"Sugar, glucose syrup, gelatin, citric acid, artificial flavors, natural flavors",1.99,85
Caramel,"Sugar, butter, heavy cream, corn syrup, vanilla extract",2.29,90
Jelly Babies,"Sugar, glucose syrup, water, gelatin, citric acid, artificial flavors, natural flavors",1.79,120
Candy Corn,"Sugar, corn syrup, confectioner's glaze, artificial flavors, artificial colors",1.49,100
Peanut Butter Cups,"Peanuts, sugar, chocolate, cocoa butter, palm oil, salt, soy lecithin",3.49,50
Chewing Gum,"Sugar, gum base, corn syrup, natural and artificial flavors",0.99,200
Mints,"Sugar, corn syrup, natural and artificial flavors, artificial colors",1.29,150
Fruit Roll-Ups,"Sugar, corn syrup, dried fruit, citric acid, artificial flavors, artificial colors",1.99,70
Turkish Delight,"Sugar, cornstarch, water, lemon juice, rosewater, nuts, powdered sugar",2.99,60
Peppermint Bark,"Chocolate, peppermint extract, crushed candy canes",3.49,40
Divinity,"Sugar, corn syrup, egg whites, pecans, vanilla extract",2.79,65
Gingerbread Cookies,"Flour, molasses, brown sugar, butter, eggs, ginger, cinnamon, cloves",2.49,80
Milk Duds,"Corn syrup, sugar, vegetable oil, skim milk, cocoa, whey, caramel",1.99,90
Bonbons,"Chocolate, sugar, cream, butter, flavorings",2.29,120
Jujubes,"Corn syrup, sugar, modified food starch, natural and artificial flavors, artificial colors",1.49,100
Raspberry Fudge,"Sugar, butter, heavy cream, chocolate, raspberry extract",2.99,55
Hard Candy,"Sugar, corn syrup, citric acid, artificial flavors, artificial colors",1.29,150
Pecan Pralines,"Sugar, butter, cream, pecans, vanilla extract",2.79,75
Chocolates,"Chocolate, sugar, cocoa butter, cocoa solids, milk solids",2.49,90
Bubblegum,"Sugar, gum base, corn syrup, glycerin, artificial flavors, artificial colors",0.99,200
Candied Orange Peel,"Orange peel, sugar, water",1.99,80
Sour Patch Kids,"Sugar, invert sugar, corn syrup, modified cornstarch, tartaric acid, citric acid",1.79,100
Coconut Ice,"Icing sugar, desiccated coconut, condensed milk",1.49,120
Marzipan,"Almonds, sugar, corn syrup, almond extract",2.29,90
Milk Chocolate,"Sugar, cocoa butter, milk solids, cocoa solids, lecithin, vanilla extract",2.49,110
Gumdrops,"Sugar, corn syrup, gelatin, pectin, natural and artificial flavors, artificial colors",1.99,80
Chocolate-covered Pretzels,"Chocolate, pretzels",3.49,50
Rum Balls,"Vanilla wafers, powdered sugar, cocoa powder, rum",2.79,60
Peach Rings,"Sugar, corn syrup, gelatin, citric acid, artificial flavors, artificial colors",1.49,100
Caramel Apples,"Apples, sugar, corn syrup, butter, heavy cream, vanilla extract",2.99,55
White Chocolate,"Sugar, cocoa butter, milk solids, lecithin, vanilla extract",2.49,90
Butterscotch,"Brown sugar, butter, corn syrup, heavy cream, vanilla extract",1.99,100
Candied Almonds,"Almonds, sugar, water",1.79,80
Taffy,"Sugar, corn syrup, palm oil, egg whites, salt, artificial flavors, artificial colors",1.49,120
Raisin Clusters,"Raisins, chocolate",2.29,90
Red Licorice,"Corn syrup, wheat flour, sugar, molasses, red dye",1.49,100
Cranberry Almond Bark,"Chocolate, cranberries, almonds",3.49,45
Maple Candy,"Maple syrup",2.79,70
Jelly Fruit Slices,"Sugar, corn syrup, pectin, citric acid, artificial flavors, artificial colors",1.79,80
Chocolate-covered Raisins,"Raisins, chocolate",2.29,100
Caramel Popcorn,"Popcorn, butter, brown sugar, corn syrup, vanilla extract",1.99,85
Sesame Seed Candy,"Sesame seeds, honey",1.49,70
Milk Caramels,"Sugar, corn syrup, heavy cream, butter, milk, vanilla extract",2.99,60
Tootsie
